num_classes,num_instances,dataset_type,class_imbalance_ratio,actual_predictions_entropy,Confidence_Mean,Confidence_Median,Confidence_Std,Confidence_Var,Confidence_Entropy,Confidence_Skewness,Confidence_Kurtosis,Confidence_Min,Confidence_Max,Classification_Log_loss,Classification_Accuracy,Classification_Precision_Micro,Classification_Precision_Macro,Classification_Precision_Weighted,Classification_Recall_Micro,Classification_Recall_Macro,Classification_Recall_Weighted,Classification_F1_Micro,Classification_F1_Macro,Classification_F1_Weighted,ECE_before,MCE_before,ConfECE_before,brier_score_before,Wasserstein_Mean,Wasserstein_Median,Wasserstein_Std,Wasserstein_Var,Wasserstein_Entropy,Wasserstein_Skewness,Wasserstein_Kurtosis,Wasserstein_Min,Wasserstein_Max,KL_Divergence_Mean,KL_Divergence_Median,KL_Divergence_Std,KL_Divergence_Var,KL_Divergence_Entropy,KL_Divergence_Skewness,KL_Divergence_Kurtosis,KL_Divergence_Min,KL_Divergence_Max,Jensen_Shannon_Mean,Jensen_Shannon_Median,Jensen_Shannon_Std,Jensen_Shannon_Var,Jensen_Shannon_Entropy,Jensen_Shannon_Skewness,Jensen_Shannon_Kurtosis,Jensen_Shannon_Min,Jensen_Shannon_Max,Bhattacharyya_Mean,Bhattacharyya_Median,Bhattacharyya_Std,Bhattacharyya_Var,Bhattacharyya_Entropy,Bhattacharyya_Skewness,Bhattacharyya_Kurtosis,Bhattacharyya_Min,Bhattacharyya_Max,Best_Cal
3,504,multi-class,1.22,0.69839,0.65996,0.65392,0.04584,0.0021,8.97382,0.38535,-0.62384,0.50821,0.7831,1.08832,0.38294,0.38294,0.40734,0.40544,0.38294,0.34751,0.38294,0.38294,0.2703,0.2881,0.00158,0.01846,0.00158,0.65987,0.0168,0.02063,0.00542,3.00E-05,1.50148,-0.70711,-1.5,0.00913,0.02063,0.91686,0.85084,0.54591,0.29802,1.31247,0.17964,-1.5,0.28372,1.61602,0.42872,0.44416,0.13593,0.01848,1.5091,-0.16892,-1.5,0.25506,0.58694,0.26336,0.2332,0.17231,0.02969,1.25635,0.25721,-1.5,0.06903,0.48786,DIRICHLET
3,504,multi-class,1.22,1.47916,0.64917,0.64297,0.07763,0.00603,8.9671,0.47739,-0.44034,0.52091,0.8269,1.07581,0.42063,0.42063,0.41177,0.41254,0.42063,0.41013,0.42063,0.42063,0.40272,0.40826,0.00477,0.52321,0.00477,0.65128,0.02196,0.02302,0.00492,2.00E-05,1.54747,-0.31343,-1.5,0.01548,0.02738,7.48717,4.71959,4.69751,22.06662,1.32007,0.67924,-1.5,3.64073,14.10119,0.48378,0.52782,0.13226,0.01749,1.52757,-0.46257,-1.5,0.30432,0.61919,0.43109,0.42586,0.24868,0.06184,1.32141,0.03156,-1.5,0.12918,0.73824,HISTOGRM
3,504,multi-class,1.22,0.99472,0.66125,0.66759,0.04722,0.00223,8.97355,-0.42288,0.08037,0.50989,0.78363,1.09211,0.37897,0.37897,0.39163,0.39089,0.37897,0.35125,0.37897,0.37897,0.30219,0.31637,0.00701,0.0189,0.00701,0.66233,0.01151,0.0119,0.00212,0,1.55973,-999,-999,0.00873,0.01389,0.03667,0.03107,0.02173,0.00047,1.32819,0.36942,-1.5,0.0133,0.06564,0.09141,0.08858,0.03011,0.00091,1.50574,0.14015,-1.5,0.05603,0.12962,0.00941,0.00792,0.00581,3.00E-05,1.30468,0.36844,-1.5,0.00316,0.01716,MATRIXSCALING
3,504,multi-class,1.22,0,0.66157,0.67674,0.03264,0.00107,8.97551,-0.34454,-1.63937,0.61307,0.70739,1.08802,0.37897,0.37897,0.12632,0.14362,0.37897,0.33333,0.37897,0.37897,0.18321,0.2083,0.00123,0.00123,0.00123,0.65965,0.01627,0.01468,0.00253,1.00E-05,1.56806,0.69452,-1.5,0.01429,0.01984,0.13077,0.13634,0.05258,0.00276,1.46027,-0.15761,-1.5,0.06377,0.19221,0.17589,0.18373,0.03737,0.0014,1.55129,-0.30532,-1.5,0.12671,0.21724,0.03335,0.03472,0.01339,0.00018,1.46066,-0.15273,-1.5,0.0163,0.04902,PLATT
3,504,multi-class,1.22,0.88711,0.66031,0.67493,0.05118,0.00262,8.97283,-0.88166,0.17791,0.51343,0.75719,1.09041,0.38889,0.38889,0.42662,0.42426,0.38889,0.35803,0.38889,0.38889,0.29476,0.31106,0.00023,0.00031,0.00023,0.66098,0.01667,0.01548,0.0035,1.00E-05,1.55383,0.47033,-1.5,0.0131,0.02143,0.06082,0.06092,0.03284,0.00108,1.35552,-0.00441,-1.5,0.02055,0.101,0.11926,0.12529,0.03669,0.00135,1.51315,-0.24197,-1.5,0.07162,0.16088,0.01586,0.01593,0.00872,8.00E-05,1.34589,-0.01147,-1.5,0.00515,0.02651,VECTORSCALING
2,409,binary,6.87,0.49999,0.04454,0,0.14177,0.0201,5.52561,4.034,16.91016,0,0.78947,0.06777,0.97311,0.97311,0.96542,0.97277,0.97311,0.91066,0.97311,0.97311,0.93567,0.97227,0.00572,0.41727,0.00572,0.04416,0,0,0,0,0,-999,-999,0,0,2.04607,2.04607,0,0,0,-999,-999,2.04607,2.04607,0.62608,0.62608,0,0,0,-999,-999,0.62608,0.62608,0.57478,0.57478,0,0,0,-999,-999,0.57478,0.57478,HISTOGRM
2,409,binary,6.87,0.54954,0.00705,0,0.02886,0.00083,4.52356,3.85256,12.84219,0,0.12529,0.00753,1,1,1,1,1,1,1,1,1,1,0.00705,0.12529,0.00705,0.00177,0,0,0,0,0,-999,-999,0,0,3.14626,3.14626,0,0,0,-999,-999,3.14626,3.14626,0.66441,0.66441,0,0,0,-999,-999,0.66441,0.66441,0.69805,0.69805,0,0,0,-999,-999,0.69805,0.69805,HISTOGRM
2,409,binary,6.87,0,0.16968,0.04878,0.2435,0.05929,7.44276,1.66639,1.83955,0,0.97561,0.28561,0.87286,0.87286,0.43643,0.76189,0.87286,0.5,0.87286,0.87286,0.46606,0.81361,0.01098,0.02516,0.01098,0.17616,0,0,0,0,0,-999,-999,0,0,8.60334,8.60334,0,0,0,-999,-999,8.60334,8.60334,0.57185,0.57185,0,0,0,-999,-999,0.57185,0.57185,0.59416,0.59416,0,0,0,-999,-999,0.59416,0.59416,HISTOGRM
2,409,binary,6.87,0.72291,0.09308,0,0.19455,0.03785,6.30444,1.83616,1.89804,0,0.63323,0.13166,0.92665,0.92665,0.81707,0.95349,0.92665,0.95798,0.92665,0.92665,0.86613,0.93325,0.00018,0.00091,0.00018,0.09303,0,0,0,0,0,-999,-999,0,0,0.82859,0.82859,0,0,0,-999,-999,0.82859,0.82859,0.43826,0.43826,0,0,0,-999,-999,0.43826,0.43826,0.22223,0.22223,0,0,0,-999,-999,0.22223,0.22223,HISTOGRM
2,409,binary,6.87,0.24942,0.1493,0.04192,0.22752,0.05177,7.44761,1.98677,3.15829,0,0.95808,0.24966,0.89976,0.89976,0.8633,0.89295,0.89976,0.63041,0.89976,0.89976,0.67553,0.87667,0.00757,0.12857,0.00757,0.14812,0,0,0,0,0,-999,-999,0,0,4.43724,4.43724,0,0,0,-999,-999,4.43724,4.43724,0.77933,0.77933,0,0,0,-999,-999,0.77933,0.77933,1.37073,1.37073,0,0,0,-999,-999,1.37073,1.37073,MIXANDMATCH
2,409,binary,6.87,0.53579,0.00995,0.00502,0.0689,0.00475,5.77896,13.99712,195.481,0.00111,0.98916,0.02676,0.99511,0.99511,0.99721,0.99514,0.99511,0.98077,0.99511,0.99511,0.9888,0.99507,0.00038,0.13761,0.00038,0.00969,0,0,0,0,0,-999,-999,0,0,1.52399,1.52399,0,0,0,-999,-999,1.52399,1.52399,0.56752,0.56752,0,0,0,-999,-999,0.56752,0.56752,0.42429,0.42429,0,0,0,-999,-999,0.42429,0.42429,DIRICHLET
2,275,binary,1.25,0.99403,0.03456,0.01969,0.1294,0.01674,6.08221,7.20643,49.9631,0.0136,0.9864,0.09359,0.98182,0.98182,0.98067,0.98209,0.98182,0.98283,0.98182,0.98182,0.98163,0.98184,0.00126,0.00126,0.00126,0.03588,0,0,0,0,0,-999,-999,0,0,0.01657,0.01657,0,0,0,-999,-999,0.01657,0.01657,0.06433,0.06433,0,0,0,-999,-999,0.06433,0.06433,0.00415,0.00415,0,0,0,-999,-999,0.00415,0.00415,MATRIXSCALING
2,275,binary,1.25,0.97304,0.06364,0,0.16486,0.02718,5.40322,3.22241,10.49239,0,0.76786,0.09588,0.96,0.96,0.96646,0.96268,0.96,0.95492,0.96,0.96,0.95904,0.95975,0.00221,0.01214,0.00221,0.06245,0,0,0,0,0,-999,-999,0,0,3.87686,3.87686,0,0,0,-999,-999,3.87686,3.87686,0.3551,0.3551,0,0,0,-999,-999,0.3551,0.3551,0.20076,0.20076,0,0,0,-999,-999,0.20076,0.20076,HISTOGRM
2,275,binary,1.25,0.97095,0.20016,0.07273,0.24304,0.05907,7.15612,1.41736,1.07901,0,0.9454,0.31735,0.85455,0.85455,0.85758,0.85587,0.85455,0.84769,0.85455,0.85455,0.8509,0.85353,0.00651,0.11429,0.00651,0.19827,0,0,0,0,0,-999,-999,0,0,4.59813,4.59813,0,0,0,-999,-999,4.59813,4.59813,0.49012,0.49012,0,0,0,-999,-999,0.49012,0.49012,0.37885,0.37885,0,0,0,-999,-999,0.37885,0.37885,HISTOGRM
2,275,binary,1.25,0.97095,0.06178,0,0.16446,0.02705,5.22284,2.87799,7.7335,0,0.70642,0.09013,0.95636,0.95636,0.96364,0.95954,0.95636,0.95082,0.95636,0.95636,0.95527,0.95606,0.00013,0.0009,0.00013,0.06173,0,0,0,0,0,-999,-999,0,0,3.15529,3.15529,0,0,0,-999,-999,3.15529,3.15529,0.32383,0.32383,0,0,0,-999,-999,0.32383,0.32383,0.16324,0.16324,0,0,0,-999,-999,0.16324,0.16324,HISTOGRM
2,751,binary,1.18,0.97064,0.35009,0.30212,0.2307,0.05322,9.24886,0.77122,-0.45826,0.09471,0.90529,0.53099,0.75233,0.75233,0.75417,0.7534,0.75233,0.74563,0.75233,0.75233,0.7472,0.75022,0.0117,0.02335,0.0117,0.35156,0,0,0,0,0,-999,-999,0,0,3.77479,3.77479,0,0,0,-999,-999,3.77479,3.77479,0.35162,0.35162,0,0,0,-999,-999,0.35162,0.35162,0.19599,0.19599,0,0,0,-999,-999,0.19599,0.19599,HISTOGRM
2,751,binary,1.18,0,0.49642,0.45733,0.04252,0.00181,9.5474,0.16837,-1.97165,0.45733,0.54267,0.68963,0.54194,0.54194,0.27097,0.2937,0.54194,0.5,0.54194,0.54194,0.35147,0.38095,0.00072,0.00072,0.00072,0.49648,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,MIXANDMATCH
2,751,binary,1.18,0.95955,0.33607,0.17086,0.23438,0.05494,9.24759,1.15382,-0.17868,0.17042,0.82958,0.51583,0.7723,0.7723,0.77785,0.77588,0.7723,0.76428,0.7723,0.7723,0.76634,0.76947,0.01009,0.02757,0.01009,0.33576,0,0,0,0,0,-999,-999,0,0,1.60227,1.60227,0,0,0,-999,-999,1.60227,1.60227,0.26687,0.26687,0,0,0,-999,-999,0.26687,0.26687,0.09893,0.09893,0,0,0,-999,-999,0.09893,0.09893,PLATT
2,751,binary,1.18,0,0.49642,0.45733,0.04252,0.00181,9.5474,0.16837,-1.97165,0.45733,0.54267,0.68963,0.54194,0.54194,0.27097,0.2937,0.54194,0.5,0.54194,0.54194,0.35147,0.38095,0.00072,0.00072,0.00072,0.49648,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,MIXANDMATCH
2,751,binary,1.18,0.98743,0.29405,0.22363,0.25034,0.06267,9.03069,0.87486,-0.22038,0.00091,0.99202,0.4622,0.78429,0.78429,0.78369,0.78407,0.78429,0.78073,0.78429,0.78429,0.78175,0.78372,0.0092,0.01147,0.0092,0.29827,0,0,0,0,0,-999,-999,0,0,0.08005,0.08005,0,0,0,-999,-999,0.08005,0.08005,0.14041,0.14041,0,0,0,-999,-999,0.14041,0.14041,0.02006,0.02006,0,0,0,-999,-999,0.02006,0.02006,PLATT
2,751,binary,1.18,0.96316,0.33432,0.16759,0.23837,0.05682,9.22741,1.06289,-0.31407,0.15159,0.84841,0.5152,0.75366,0.75366,0.75725,0.75591,0.75366,0.74595,0.75366,0.75366,0.74764,0.75091,0.01449,0.0698,0.01449,0.33719,0,0,0,0,0,-999,-999,0,0,1.89554,1.89554,0,0,0,-999,-999,1.89554,1.89554,0.27561,0.27561,0,0,0,-999,-999,0.27561,0.27561,0.10913,0.10913,0,0,0,-999,-999,0.10913,0.10913,PLATT
2,751,binary,1.18,0.97794,0.30335,0.17045,0.24376,0.05942,9.17609,1.4416,0.41804,0.1576,0.8424,0.47827,0.80293,0.80293,0.80489,0.80395,0.80293,0.79771,0.80293,0.80293,0.79959,0.80176,0.00604,0.04112,0.00604,0.30289,0,0,0,0,0,-999,-999,0,0,0.94636,0.94636,0,0,0,-999,-999,0.94636,0.94636,0.2198,0.2198,0,0,0,-999,-999,0.2198,0.2198,0.06385,0.06385,0,0,0,-999,-999,0.06385,0.06385,PLATT
100,10000,multi-class,1,0,0.99,0.99,0,0,13.28771,-999,-999,0.99,0.99,4.60517,0.01,0.01,0.0001,0.0001,0.01,0.01,0.01,0.01,0.0002,0.0002,0,0,0,0.99,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,MIXANDMATCH
100,10000,multi-class,1,0,0.99,0.99,0,0,13.28771,-999,-999,0.99,0.99,4.60517,0.01,0.01,0.0001,0.0001,0.01,0.01,0.01,0.01,0.0002,0.0002,0,0,0,0.99,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,MIXANDMATCH
100,10000,multi-class,1,0,0.99,0.99,0,0,13.28771,-999,-999,0.99,0.99,4.60517,0.01,0.01,0.0001,0.0001,0.01,0.01,0.01,0.01,0.0002,0.0002,0,0,0,0.99,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,-999,-999,0,0,MIXANDMATCH
4,106,multi-class,2.8,0,0.7069,0.70179,0.09859,0.00972,6.71407,0.3862,-1.42999,0.60129,0.8507,1.29571,0.39623,0.39623,0.09906,0.157,0.39623,0.25,0.39623,0.39623,0.14189,0.22489,0.00331,0.00331,0.00331,0.70438,0.02956,0.0283,0.00651,4.00E-05,2.55021,0.25737,-1.27226,0.02075,0.03962,0.63164,0.67272,0.21949,0.04818,2.49365,-0.16399,-1.7719,0.32828,0.86158,0.36244,0.37457,0.05694,0.00324,2.56684,-0.22656,-1.54647,0.28406,0.43442,0.15472,0.16203,0.05149,0.00265,2.50164,-0.12496,-1.59658,0.0873,0.22172,VECTORSCALING
4,106,multi-class,2.8,1.26265,0.72503,0.79564,0.08892,0.00791,6.71683,-0.4649,-1.78386,0.61307,0.79564,1.34097,0.38679,0.38679,0.31998,0.35607,0.38679,0.27698,0.38679,0.38679,0.24909,0.33441,0.00014,0.00014,0.00014,0.72505,0.04905,0.06415,0.02983,0.00089,2.2258,-0.64004,-1.4535,0.00377,0.07736,0.38296,0.31983,0.29216,0.08536,2.09757,0.28444,-1.41517,0.00747,0.80143,0.29557,0.31141,0.1529,0.02338,2.34866,-0.36906,-1.08959,0.0406,0.4816,0.13662,0.11298,0.11069,0.01225,2.03714,0.34483,-1.36797,0.00167,0.30547,TEMPERATURESCALING
4,106,multi-class,2.8,1.63142,0.63741,0.61085,0.20887,0.04363,6.64925,0.21336,-0.94961,0.23256,1,4.67064,0.51887,0.51887,0.41827,0.48043,0.51887,0.41193,0.51887,0.51887,0.4004,0.48508,0.04943,0.25872,0.04943,0.66896,0.02233,0.02264,0.00549,3.00E-05,2.54046,-0.07872,-1.80444,0.01509,0.0283,0.49854,0.56221,0.23479,0.05513,2.41009,-0.05282,-1.06891,0.16179,0.86476,0.31981,0.31754,0.08559,0.00733,2.53239,0.0059,-1.55407,0.20076,0.43931,0.13752,0.12538,0.07098,0.00504,2.38817,0.30262,-1.27517,0.04657,0.25182,HISTOGRM
4,106,multi-class,2.8,1.69452,0.56506,0.39026,0.24677,0.06089,6.59299,0.37421,-1.76504,0.34312,0.88563,1.08206,0.60377,0.60377,0.54746,0.58402,0.60377,0.51177,0.60377,0.60377,0.51866,0.58525,0.01858,0.29672,0.01858,0.56678,0.05,0.0434,0.02792,0.00078,2.32026,-0.0334,-1.10092,0.00566,0.08679,1.69479,1.62196,0.58284,0.3397,2.50064,0.45216,-0.77673,0.90775,2.72108,0.30659,0.30151,0.0917,0.00841,2.51786,-0.0811,-1.15118,0.16316,0.43326,0.13349,0.11742,0.0743,0.00552,2.35361,0.34904,-1.17466,0.0347,0.2524,TEMPERATURESCALING
4,106,multi-class,2.8,1.48164,0.6006,0.6231,0.2164,0.04683,6.6276,-0.15316,-1.0477,0.18486,0.99353,1.13827,0.5566,0.5566,0.44168,0.49958,0.5566,0.42743,0.5566,0.5566,0.4084,0.50787,0.04057,0.70294,0.04057,0.60206,0.03428,0.03868,0.01546,0.00024,2.42254,-0.26052,-1.45786,0.01321,0.05472,0.30335,0.26049,0.17637,0.03111,2.3331,0.30935,-1.46632,0.08242,0.54252,0.2542,0.26371,0.06812,0.00464,2.52959,-0.44541,-1.05679,0.13858,0.33147,0.07658,0.07594,0.03791,0.00144,2.38959,-0.07359,-1.33516,0.0201,0.12518,DIRICHLET
4,106,multi-class,2.8,0,0.71914,0.7816,0.09282,0.00861,6.71566,-0.38965,-1.80114,0.60502,0.81213,1.32303,0.39623,0.39623,0.09906,0.157,0.39623,0.25,0.39623,0.39623,0.14189,0.22489,0.00148,0.00148,0.00148,0.71667,0.02547,0.02452,0.00883,8.00E-05,2.49723,0.21936,-1.16397,0.01321,0.03962,0.36311,0.35918,0.22222,0.04938,2.27347,-0.03682,-1.52068,0.04483,0.66806,0.27075,0.28074,0.09544,0.00911,2.4842,-0.53489,-1.00576,0.10319,0.37342,0.09166,0.08885,0.05534,0.00306,2.27781,-0.09959,-1.57018,0.01078,0.15909,TEMPERATURESCALING
4,106,multi-class,2.8,1.33082,0.62788,0.72965,0.21646,0.04686,6.62832,-0.64408,-0.92077,0.00046,0.89584,1.1654,0.51887,0.51887,0.58956,0.58473,0.51887,0.39432,0.51887,0.51887,0.37453,0.46564,0.04433,0.16649,0.04433,0.61935,0.03176,0.03114,0.0114,0.00013,2.49071,0.16367,-1.39828,0.01698,0.04906,8.86312,8.05065,5.69202,32.39907,2.28003,0.35175,-1.39831,2.9808,18.05304,0.63128,0.64237,0.11114,0.01235,2.56239,0.00274,-1.15417,0.46908,0.80174,0.92374,0.81748,0.62131,0.38602,2.2931,1.15938,0.15588,0.3018,2.19408,AdaptiveTemperatureScaling
2,4128,binary,1,1,0.23675,0.12829,0.24987,0.06244,11.25374,1.14223,0.24997,0.00171,0.99115,0.36801,0.82752,0.82752,0.82752,0.82752,0.82752,0.82752,0.82752,0.82752,0.82752,0.82752,0.00959,0.04199,0.00959,0.23697,0,0,0,0,0,-999,-999,0,0,0.06783,0.06783,0,0,0,-999,-999,0.06783,0.06783,0.12949,0.12949,0,0,0,-999,-999,0.12949,0.12949,0.017,0.017,0,0,0,-999,-999,0.017,0.017,DIRICHLET
2,4128,binary,1,0.99985,0.17955,0.06362,0.23446,0.05497,10.98427,1.61186,1.70015,0.00487,0.99054,0.28113,0.87912,0.87912,0.8792,0.8792,0.87912,0.87912,0.87912,0.87912,0.87911,0.87911,0.00606,0.21302,0.00606,0.17442,0,0,0,0,0,-999,-999,0,0,0.01115,0.01115,0,0,0,-999,-999,0.01115,0.01115,0.03544,0.03544,0,0,0,-999,-999,0.03544,0.03544,0.00141,0.00141,0,0,0,-999,-999,0.00141,0.00141,PLATT
